DATE,ENERGY_WH,MONTH,YEAR
2013-07-28,2376,7,2013
2013-07-29,2571,7,2013
2013-07-30,2084,7,2013
2013-07-31,2091,7,2013
2013-08-01,3687,8,2013
2013-08-02,3083,8,2013
2013-08-03,3354,8,2013
2013-08-04,2879,8,2013
2013-08-05,1352,8,2013
2013-08-06,2570,8,2013
2013-08-07,0,8,2013
2013-08-08,2149,8,2013
2013-08-09,2818,8,2013
2013-08-10,0,8,2013
2013-08-11,123,8,2013
2013-08-12,3723,8,2013
2013-08-13,3936,8,2013
2013-08-14,3978,8,2013
2013-08-15,4252,8,2013
2013-08-16,3530,8,2013
2013-08-17,4643,8,2013
2013-08-18,4625,8,2013
2013-08-19,6392,8,2013
2013-08-20,6912,8,2013
2013-08-21,6343,8,2013
2013-08-22,2927,8,2013
2013-08-23,7996,8,2013
2013-08-24,7368,8,2013
2013-08-25,6999,8,2013
2013-08-26,753,8,2013
2013-08-27,103,8,2013
2013-08-28,3011,8,2013
2013-08-29,4251,8,2013
2013-08-30,3050,8,2013
2013-08-31,3144,8,2013
2013-09-01,2900,9,2013
2013-09-02,5645,9,2013
2013-09-03,9840,9,2013
2013-09-04,7532,9,2013
2013-09-05,9550,9,2013
2013-09-06,8497,9,2013
2013-09-07,6311,9,2013
2013-09-08,7900,9,2013
2013-09-09,6384,9,2013
2013-09-10,8337,9,2013
2013-09-11,6614,9,2013
2013-09-12,6916,9,2013
2013-09-13,9862,9,2013
2013-09-14,8518,9,2013
2013-09-15,2396,9,2013
2013-09-16,8907,9,2013
2013-09-17,7627,9,2013
2013-09-18,5281,9,2013
2013-09-19,5967,9,2013
2013-09-20,3911,9,2013
2013-09-21,3923,9,2013
2013-09-22,9618,9,2013
2013-09-23,8872,9,2013
2013-09-24,8058,9,2013
2013-09-25,6588,9,2013
2013-09-26,8802,9,2013
2013-09-27,8663,9,2013
2013-09-28,6970,9,2013
2013-09-29,8883,9,2013
2013-09-30,7702,9,2013
2013-10-01,8399,10,2013
2013-10-02,26,10,2013
2013-10-03,0,10,2013
2013-10-04,0,10,2013
2013-10-05,0,10,2013
2013-10-06,0,10,2013
2013-10-07,0,10,2013
2013-10-08,5161,10,2013
2013-10-09,7108,10,2013
2013-10-10,6832,10,2013
2013-10-11,6176,10,2013
2013-10-12,2639,10,2013
2013-10-13,6811,10,2013
2013-10-14,6019,10,2013
2013-10-15,325,10,2013
2013-10-16,1005,10,2013
2013-10-17,3441,10,2013
2013-10-18,1356,10,2013
2013-10-19,5686,10,2013
2013-10-20,1958,10,2013
2013-10-21,1789,10,2013
2013-10-22,4402,10,2013
2013-10-23,3946,10,2013
2013-10-24,3434,10,2013
2013-10-25,3710,10,2013
2013-10-26,4015,10,2013
2013-10-27,6160,10,2013
2013-10-28,4980,10,2013
2013-10-29,1047,10,2013
2013-10-30,1034,10,2013
2013-10-31,438,10,2013
2013-11-01,550,11,2013
2013-11-02,2065,11,2013
2013-11-03,5788,11,2013
2013-11-04,1603,11,2013
2013-11-05,2435,11,2013
2013-11-06,957,11,2013
2013-11-07,4378,11,2013
2013-11-08,3879,11,2013
2013-11-09,724,11,2013
2013-11-10,6324,11,2013
2013-11-11,1322,11,2013
2013-11-12,6432,11,2013
2013-11-13,5537,11,2013
2013-11-14,4669,11,2013
2013-11-15,5458,11,2013
2013-11-16,206,11,2013
2013-11-17,270,11,2013
2013-11-18,1068,11,2013
2013-11-19,5302,11,2013
2013-11-20,2129,11,2013
2013-11-21,447,11,2013
2013-11-22,5281,11,2013
2013-11-23,5292,11,2013
2013-11-24,4290,11,2013
2013-11-25,1282,11,2013
2013-11-26,2444,11,2013
2013-11-27,4396,11,2013
2013-11-28,259,11,2013
2013-11-29,3529,11,2013
2013-11-30,2869,11,2013
2013-12-01,3122,12,2013
2013-12-02,2197,12,2013
2013-12-03,141,12,2013
2013-12-04,142,12,2013
2013-12-05,5035,12,2013
2013-12-06,5167,12,2013
2013-12-07,5073,12,2013
2013-12-08,1136,12,2013
2013-12-09,3544,12,2013
2013-12-10,3149,12,2013
2013-12-11,5234,12,2013
2013-12-12,4947,12,2013
2013-12-13,1213,12,2013
2013-12-14,577,12,2013
2013-12-15,4928,12,2013
2013-12-16,2480,12,2013
2013-12-17,3280,12,2013
2013-12-18,3039,12,2013
2013-12-19,1129,12,2013
2013-12-20,256,12,2013
2013-12-21,185,12,2013
2013-12-22,286,12,2013
2013-12-23,246,12,2013
2013-12-24,629,12,2013
2013-12-25,98,12,2013
2013-12-26,212,12,2013
2013-12-27,626,12,2013
2013-12-28,3895,12,2013
2013-12-29,2281,12,2013
2013-12-30,2900,12,2013
2013-12-31,3339,12,2013
2014-01-01,2854,1,2014
2014-01-02,4985,1,2014
2014-01-03,2076,1,2014
2014-01-04,543,1,2014
2014-01-05,1262,1,2014
2014-01-06,4728,1,2014
2014-01-07,5161,1,2014
2014-01-08,5572,1,2014
2014-01-09,4953,1,2014
2014-01-10,584,1,2014
2014-01-11,395,1,2014
2014-01-12,2516,1,2014
2014-01-13,1735,1,2014
2014-01-14,84,1,2014
2014-01-15,730,1,2014
2014-01-16,221,1,2014
2014-01-17,945,1,2014
2014-01-18,1585,1,2014
2014-01-19,1349,1,2014
2014-01-20,1980,1,2014
2014-01-21,6181,1,2014
2014-01-22,385,1,2014
2014-01-23,5282,1,2014
2014-01-24,1115,1,2014
2014-01-25,5695,1,2014
2014-01-26,1043,1,2014
2014-01-27,6914,1,2014
2014-01-28,7033,1,2014
2014-01-29,6905,1,2014
2014-01-30,437,1,2014
2014-01-31,2485,1,2014
2014-02-01,874,2,2014
2014-02-02,6179,2,2014
2014-02-03,7277,2,2014
2014-02-04,3155,2,2014
2014-02-05,3260,2,2014
2014-02-06,8120,2,2014
2014-02-07,8256,2,2014
2014-02-08,4776,2,2014
2014-02-09,5702,2,2014
2014-02-10,8510,2,2014
2014-02-11,8445,2,2014
2014-02-12,2262,2,2014
2014-02-13,735,2,2014
2014-02-14,7789,2,2014
2014-02-15,7644,2,2014
2014-02-16,7927,2,2014
2014-02-17,826,2,2014
2014-02-18,3880,2,2014
2014-02-19,8996,2,2014
2014-02-20,830,2,2014
2014-02-21,3607,2,2014
2014-02-22,9437,2,2014
2014-02-23,9659,2,2014
2014-02-24,9581,2,2014
2014-02-25,9651,2,2014
2014-02-26,7483,2,2014
2014-02-27,10154,2,2014
2014-02-28,3497,2,2014
2014-03-01,2214,3,2014
2014-03-02,10357,3,2014
2014-03-03,9454,3,2014
2014-03-04,1577,3,2014
2014-03-05,8713,3,2014
2014-03-06,9374,3,2014
2014-03-07,3911,3,2014
2014-03-08,9273,3,2014
2014-03-09,4606,3,2014
2014-03-10,9502,3,2014
2014-03-11,2503,3,2014
2014-03-12,9817,3,2014
2014-03-13,5738,3,2014
2014-03-14,5049,3,2014
2014-03-15,6493,3,2014
2014-03-16,10635,3,2014
2014-03-17,3882,3,2014
2014-03-18,5965,3,2014
2014-03-19,1803,3,2014
2014-03-20,6945,3,2014
2014-03-21,5735,3,2014
2014-03-22,7930,3,2014
2014-03-23,9631,3,2014
2014-03-24,9160,3,2014
2014-03-25,8827,3,2014
2014-03-26,7896,3,2014
2014-03-27,704,3,2014
2014-03-28,7539,3,2014
2014-03-29,9964,3,2014
2014-03-30,9762,3,2014
2014-03-31,4182,3,2014
2014-04-01,3047,4,2014
2014-04-02,10174,4,2014
2014-04-03,1449,4,2014
2014-04-04,988,4,2014
2014-04-05,10448,4,2014
2014-04-06,8858,4,2014
2014-04-07,6131,4,2014
2014-04-08,5796,4,2014
2014-04-09,9142,4,2014
2014-04-10,6720,4,2014
2014-04-11,5014,4,2014
2014-04-12,247,4,2014
2014-04-13,1892,4,2014
2014-04-14,1906,4,2014
2014-04-15,6486,4,2014
2014-04-16,5206,4,2014
2014-04-17,4008,4,2014
2014-04-18,9836,4,2014
2014-04-19,9132,4,2014
2014-04-20,1615,4,2014
2014-04-21,4372,4,2014
2014-04-22,10392,4,2014
2014-04-23,7549,4,2014
2014-04-24,1063,4,2014
2014-04-25,7813,4,2014
2014-04-26,4923,4,2014
2014-04-27,3059,4,2014
2014-04-28,1555,4,2014
2014-04-29,1400,4,2014
2014-04-30,3289,4,2014
2014-05-01,3385,5,2014
2014-05-02,2883,5,2014
2014-05-03,8646,5,2014
2014-05-04,10992,5,2014
2014-05-05,7313,5,2014
2014-05-06,9695,5,2014
2014-05-07,1901,5,2014
2014-05-08,5206,5,2014
2014-05-09,6709,5,2014
2014-05-10,10759,5,2014
2014-05-11,6638,5,2014
2014-05-12,3350,5,2014
2014-05-13,3437,5,2014
2014-05-14,6827,5,2014
2014-05-15,6038,5,2014
2014-05-16,7269,5,2014
2014-05-17,7766,5,2014
2014-05-18,9106,5,2014
2014-05-19,5307,5,2014
2014-05-20,7813,5,2014
2014-05-21,10205,5,2014
2014-05-22,7154,5,2014
2014-05-23,10410,5,2014
2014-05-24,10041,5,2014
2014-05-25,9960,5,2014
2014-05-26,6134,5,2014
2014-05-27,1991,5,2014
2014-05-28,3447,5,2014
2014-05-29,10222,5,2014
2014-05-30,9801,5,2014
2014-05-31,9437,5,2014
2014-06-01,4251,6,2014
2014-06-02,4639,6,2014
2014-06-03,9355,6,2014
2014-06-04,8156,6,2014
2014-06-05,8900,6,2014
2014-06-06,7669,6,2014
2014-06-07,7443,6,2014
2014-06-08,10285,6,2014
2014-06-09,7148,6,2014
2014-06-10,5465,6,2014
2014-06-11,3774,6,2014
2014-06-12,6945,6,2014
2014-06-13,10712,6,2014
2014-06-14,8527,6,2014
2014-06-15,6150,6,2014
2014-06-16,9321,6,2014
2014-06-17,8342,6,2014
2014-06-18,3862,6,2014
2014-06-19,7473,6,2014
2014-06-20,3097,6,2014
2014-06-21,2809,6,2014
2014-06-22,4304,6,2014
2014-06-23,7055,6,2014
2014-06-24,7456,6,2014
2014-06-25,5151,6,2014
2014-06-26,6729,6,2014
2014-06-27,4891,6,2014
2014-06-28,7081,6,2014
2014-06-29,8215,6,2014
2014-06-30,4178,6,2014
2014-07-01,6731,7,2014
2014-07-02,3513,7,2014
2014-07-03,8187,7,2014
2014-07-04,9950,7,2014
2014-07-05,9027,7,2014
2014-07-06,2932,7,2014
2014-07-07,4708,7,2014
2014-07-08,7089,7,2014
2014-07-09,7895,7,2014
2014-07-10,9828,7,2014
2014-07-11,8081,7,2014
2014-07-12,3658,7,2014
2014-07-13,9365,7,2014
2014-07-14,7628,7,2014
2014-07-15,5148,7,2014
2014-07-16,8072,7,2014
2014-07-17,9025,7,2014
2014-07-18,8488,7,2014
2014-07-19,4423,7,2014
2014-07-20,7706,7,2014
2014-07-21,7959,7,2014
2014-07-22,7107,7,2014
2014-07-23,9134,7,2014
2014-07-24,9401,7,2014
2014-07-25,3945,7,2014
2014-07-26,5478,7,2014
2014-07-27,6563,7,2014
2014-07-28,6876,7,2014
2014-07-29,8143,7,2014
2014-07-30,9150,7,2014
2014-07-31,7298,7,2014
2014-08-01,5974,8,2014
2014-08-02,9210,8,2014
2014-08-03,3573,8,2014
2014-08-04,4220,8,2014
2014-08-05,7216,8,2014
2014-08-06,8608,8,2014
2014-08-07,9355,8,2014
2014-08-08,8501,8,2014
2014-08-09,6527,8,2014
2014-08-10,8235,8,2014
2014-08-11,5401,8,2014
2014-08-12,3533,8,2014
2014-08-13,8458,8,2014
2014-08-14,9861,8,2014
2014-08-15,9502,8,2014
2014-08-16,5679,8,2014
2014-08-17,5659,8,2014
2014-08-18,3063,8,2014
2014-08-19,5070,8,2014
2014-08-20,6713,8,2014
2014-08-21,2555,8,2014
2014-08-22,6045,8,2014
2014-08-23,2364,8,2014
2014-08-24,5939,8,2014
2014-08-25,4892,8,2014
2014-08-26,8170,8,2014
2014-08-27,7721,8,2014
2014-08-28,3982,8,2014
2014-08-29,6732,8,2014
2014-08-30,4793,8,2014
2014-08-31,5933,8,2014
2014-09-01,2418,9,2014
2014-09-02,7225,9,2014
2014-09-03,8824,9,2014
2014-09-04,2588,9,2014
2014-09-05,4844,9,2014
2014-09-06,9277,9,2014
2014-09-07,8298,9,2014
2014-09-08,6436,9,2014
2014-09-09,8113,9,2014
2014-09-10,987,9,2014
2014-09-11,1907,9,2014
2014-09-12,1411,9,2014
2014-09-13,7580,9,2014
2014-09-14,7729,9,2014
2014-09-15,2850,9,2014
2014-09-16,9675,9,2014
2014-09-17,8184,9,2014
2014-09-18,5549,9,2014
2014-09-19,7424,9,2014
2014-09-20,3774,9,2014
2014-09-21,3968,9,2014
2014-09-22,8478,9,2014
2014-09-23,9034,9,2014
2014-09-24,4797,9,2014
2014-09-25,8561,9,2014
2014-09-26,5621,9,2014
2014-09-27,4819,9,2014
2014-09-28,7117,9,2014
2014-09-29,2112,9,2014
2014-09-30,1524,9,2014
2014-10-01,4785,10,2014
2014-10-02,1509,10,2014
2014-10-03,2062,10,2014
2014-10-04,1491,10,2014
2014-10-05,5235,10,2014
2014-10-06,7432,10,2014
2014-10-07,7415,10,2014
2014-10-08,7285,10,2014
2014-10-09,8006,10,2014
2014-10-10,7735,10,2014
2014-10-11,7579,10,2014
2014-10-12,6678,10,2014
2014-10-13,1589,10,2014
2014-10-14,590,10,2014
2014-10-15,860,10,2014
2014-10-16,2099,10,2014
2014-10-17,662,10,2014
2014-10-18,5612,10,2014
2014-10-19,3243,10,2014
2014-10-20,1194,10,2014
2014-10-21,5036,10,2014
2014-10-22,6418,10,2014
2014-10-23,1176,10,2014
2014-10-24,1499,10,2014
2014-10-25,7060,10,2014
2014-10-26,4622,10,2014
2014-10-27,3616,10,2014
2014-10-28,2770,10,2014
2014-10-29,2497,10,2014
2014-10-30,2837,10,2014
2014-10-31,3857,10,2014
2014-11-01,6823,11,2014
2014-11-02,4996,11,2014
2014-11-03,1840,11,2014
2014-11-04,1630,11,2014
2014-11-05,1502,11,2014
2014-11-06,954,11,2014
2014-11-07,2946,11,2014
2014-11-08,2042,11,2014
2014-11-09,544,11,2014
2014-11-10,324,11,2014
2014-11-11,427,11,2014
2014-11-12,2448,11,2014
2014-11-13,3086,11,2014
2014-11-14,1366,11,2014
2014-11-15,3100,11,2014
2014-11-16,1592,11,2014
2014-11-17,3023,11,2014
2014-11-18,5406,11,2014
2014-11-19,745,11,2014
2014-11-20,5616,11,2014
2014-11-21,4688,11,2014
2014-11-22,342,11,2014
2014-11-23,164,11,2014
2014-11-24,268,11,2014
2014-11-25,593,11,2014
2014-11-26,719,11,2014
2014-11-27,3324,11,2014
2014-11-28,508,11,2014
2014-11-29,4154,11,2014
2014-11-30,1003,11,2014
2014-12-01,5432,12,2014
2014-12-02,1962,12,2014
2014-12-03,5208,12,2014
2014-12-04,1328,12,2014
2014-12-05,1071,12,2014
2014-12-06,4997,12,2014
2014-12-07,2074,12,2014
2014-12-08,190,12,2014
2014-12-09,5059,12,2014
2014-12-10,875,12,2014
2014-12-11,4016,12,2014
2014-12-12,639,12,2014
2014-12-13,446,12,2014
2014-12-14,247,12,2014
2014-12-15,328,12,2014
2014-12-16,482,12,2014
2014-12-17,3444,12,2014
2014-12-18,509,12,2014
2014-12-19,4406,12,2014
2014-12-20,638,12,2014
2014-12-21,324,12,2014
2014-12-22,489,12,2014
