YEAR,MONTH,ENERGY_WH,MONTH_NAME,ENERGY_KWH
2013,7,9122,July,9.122
2013,8,109951,August,109.951
2013,9,216974,September,216.974
2013,10,97897,October,97.897
2013,11,91185,November,91.185
2013,12,70486,December,70.486
2014,1,87733,January,87.733
2014,2,168512,February,168.512
2014,3,209141,March,209.141
2014,4,153510,April,153.51
2014,5,219842,May,219.842
2014,6,199383,June,199.383
2014,7,222508,July,222.508
2014,8,193484,August,193.484
2014,9,171124,September,171.124
2014,10,124449,October,124.449
2014,11,66173,November,66.173
2014,12,63770,December,63.77
2015,1,76728,January,76.728
2015,2,149499,February,149.499
2015,3,202526,March,202.526
2015,4,185598,April,185.598
2015,5,212888,May,212.888
2015,6,202105,June,202.105
2015,7,254259,July,254.259
2015,8,185265,August,185.265
2015,9,189614,September,189.614
2015,10,130473,October,130.473
2015,11,86736,November,86.736
2015,12,42805,December,42.805
2016,1,82540,January,82.54
2016,2,110895,February,110.895
2016,3,138432,March,138.432
2016,4,178315,April,178.315
2016,5,232860,May,232.86
2016,6,220739,June,220.739
2016,7,221159,July,221.159
2016,8,215766,August,215.766
2016,9,168459,September,168.459
2016,10,121621,October,121.621
2016,11,109552,November,109.552
2016,12,62442,December,62.442
2017,1,70418,January,70.418
2017,2,147273,February,147.273
2017,3,166046,March,166.046
2017,4,163764,April,163.764
2017,5,215555,May,215.555
2017,6,218522,June,218.522
2017,7,238348,July,238.348
2017,8,199595,August,199.595
2017,9,209617,September,209.617
2017,10,117722,October,117.722
2017,11,88448,November,88.448
2017,12,66006,December,66.006
2018,1,105291,January,105.291
2018,2,139575,February,139.575
2018,3,217056,March,217.056
2018,4,219320,April,219.32
2018,5,206687,May,206.687
2018,6,212943,June,212.943
2018,7,232405,July,232.405
2018,8,191703,August,191.703
2018,9,176509,September,176.509
2018,10,98936,October,98.936
2018,11,72260,November,72.26
2018,12,66797,December,66.797
2019,1,55513,January,55.513
2019,2,114837,February,114.837
2019,3,220551,March,220.551
2019,4,150285,April,150.285
2019,5,190252,May,190.252
2019,6,189764,June,189.764
2019,7,233117,July,233.117
2019,8,209459,August,209.459
2019,9,144671,September,144.671
2019,10,112201,October,112.201
2019,11,74689,November,74.689
2019,12,53242,December,53.242
2020,1,55779,January,55.779
2020,2,150314,February,150.314
2020,3,140025,March,140.025
2020,4,182633,April,182.633
2020,5,232176,May,232.176
2020,6,235189,June,235.189
2020,7,235622,July,235.622
2020,8,216345,August,216.345
2020,9,156888,September,156.888
2020,10,114933,October,114.933
2020,11,97613,November,97.613
2020,12,58716,December,58.716
2021,1,65535,January,65.535
2021,2,86767,February,86.767
2021,3,199573,March,199.573
2021,4,196815,April,196.815
2021,5,216167,May,216.167
2021,6,227112,June,227.112
2021,7,226051,July,226.051
2021,8,212858,August,212.858
2021,9,197858,September,197.858
2021,10,107074,October,107.074
2021,11,89608,November,89.608
2021,12,62329,December,62.329
2022,1,116470,January,116.47
2022,2,123288,February,123.288
2022,3,157959,March,157.959
2022,4,154876,April,154.876
2022,5,203593,May,203.593
2022,6,231444,June,231.444
2022,7,235289,July,235.289
2022,8,204804,August,204.804
2022,9,168532,September,168.532
2022,10,138761,October,138.761
2022,11,92046,November,92.046
2022,12,48332,December,48.332
2023,1,47916,January,47.916
2023,2,146136,February,146.136
2023,3,175172,March,175.172
2023,4,174435,April,174.435
2023,5,222591,May,222.591
2023,6,227580,June,227.58
2023,7,240838,July,240.838
2023,8,224976,August,224.976
2023,9,140424,September,140.424
2023,10,39893,October,39.893
2023,11,47645,November,47.645
2023,12,26794,December,26.794
2024,1,731,January,0.731
