Date/Time,Energy Produced (Wh)
07/28/2013,"2,376"
07/29/2013,"2,571"
07/30/2013,"2,084"
07/31/2013,"2,091"
08/01/2013,"3,687"
08/02/2013,"3,083"
08/03/2013,"3,354"
08/04/2013,"2,879"
08/05/2013,"1,352"
08/06/2013,"2,570"
08/07/2013,0
08/08/2013,"2,149"
08/09/2013,"2,818"
08/10/2013,0
08/11/2013,123
08/12/2013,"3,723"
08/13/2013,"3,936"
08/14/2013,"3,978"
08/15/2013,"4,252"
08/16/2013,"3,530"
08/17/2013,"4,643"
08/18/2013,"4,625"
08/19/2013,"6,392"
08/20/2013,"6,912"
08/21/2013,"6,343"
08/22/2013,"2,927"
08/23/2013,"7,996"
08/24/2013,"7,368"
08/25/2013,"6,999"
08/26/2013,753
08/27/2013,103
08/28/2013,"3,011"
08/29/2013,"4,251"
08/30/2013,"3,050"
08/31/2013,"3,144"
09/01/2013,"2,900"
09/02/2013,"5,645"
09/03/2013,"9,840"
09/04/2013,"7,532"
09/05/2013,"9,550"
09/06/2013,"8,497"
09/07/2013,"6,311"
09/08/2013,"7,900"
09/09/2013,"6,384"
09/10/2013,"8,337"
09/11/2013,"6,614"
09/12/2013,"6,916"
09/13/2013,"9,862"
09/14/2013,"8,518"
09/15/2013,"2,396"
09/16/2013,"8,907"
09/17/2013,"7,627"
09/18/2013,"5,281"
09/19/2013,"5,967"
09/20/2013,"3,911"
09/21/2013,"3,923"
09/22/2013,"9,618"
09/23/2013,"8,872"
09/24/2013,"8,058"
09/25/2013,"6,588"
09/26/2013,"8,802"
09/27/2013,"8,663"
09/28/2013,"6,970"
09/29/2013,"8,883"
09/30/2013,"7,702"
10/01/2013,"8,399"
10/02/2013,26
10/03/2013,0
10/04/2013,0
10/05/2013,0
10/06/2013,0
10/07/2013,0
10/08/2013,"5,161"
10/09/2013,"7,108"
10/10/2013,"6,832"
10/11/2013,"6,176"
10/12/2013,"2,639"
10/13/2013,"6,811"
10/14/2013,"6,019"
10/15/2013,325
10/16/2013,"1,005"
10/17/2013,"3,441"
10/18/2013,"1,356"
10/19/2013,"5,686"
10/20/2013,"1,958"
10/21/2013,"1,789"
10/22/2013,"4,402"
10/23/2013,"3,946"
10/24/2013,"3,434"
10/25/2013,"3,710"
10/26/2013,"4,015"
10/27/2013,"6,160"
10/28/2013,"4,980"
10/29/2013,"1,047"
10/30/2013,"1,034"
10/31/2013,438
11/01/2013,550
11/02/2013,"2,065"
11/03/2013,"5,788"
11/04/2013,"1,603"
11/05/2013,"2,435"
11/06/2013,957
11/07/2013,"4,378"
11/08/2013,"3,879"
11/09/2013,724
11/10/2013,"6,324"
11/11/2013,"1,322"
11/12/2013,"6,432"
11/13/2013,"5,537"
11/14/2013,"4,669"
11/15/2013,"5,458"
11/16/2013,206
11/17/2013,270
11/18/2013,"1,068"
11/19/2013,"5,302"
11/20/2013,"2,129"
11/21/2013,447
11/22/2013,"5,281"
11/23/2013,"5,292"
11/24/2013,"4,290"
11/25/2013,"1,282"
11/26/2013,"2,444"
11/27/2013,"4,396"
11/28/2013,259
11/29/2013,"3,529"
11/30/2013,"2,869"
12/01/2013,"3,122"
12/02/2013,"2,197"
12/03/2013,141
12/04/2013,142
12/05/2013,"5,035"
12/06/2013,"5,167"
12/07/2013,"5,073"
12/08/2013,"1,136"
12/09/2013,"3,544"
12/10/2013,"3,149"
12/11/2013,"5,234"
12/12/2013,"4,947"
12/13/2013,"1,213"
12/14/2013,577
12/15/2013,"4,928"
12/16/2013,"2,480"
12/17/2013,"3,280"
12/18/2013,"3,039"
12/19/2013,"1,129"
12/20/2013,256
12/21/2013,185
12/22/2013,286
12/23/2013,246
12/24/2013,629
12/25/2013,98
12/26/2013,212
12/27/2013,626
12/28/2013,"3,895"
12/29/2013,"2,281"
12/30/2013,"2,900"
12/31/2013,"3,339"
01/01/2014,"2,854"
01/02/2014,"4,985"
01/03/2014,"2,076"
01/04/2014,543
01/05/2014,"1,262"
01/06/2014,"4,728"
01/07/2014,"5,161"
01/08/2014,"5,572"
01/09/2014,"4,953"
01/10/2014,584
01/11/2014,395
01/12/2014,"2,516"
01/13/2014,"1,735"
01/14/2014,84
01/15/2014,730
01/16/2014,221
01/17/2014,945
01/18/2014,"1,585"
01/19/2014,"1,349"
01/20/2014,"1,980"
01/21/2014,"6,181"
01/22/2014,385
01/23/2014,"5,282"
01/24/2014,"1,115"
01/25/2014,"5,695"
01/26/2014,"1,043"
01/27/2014,"6,914"
01/28/2014,"7,033"
01/29/2014,"6,905"
01/30/2014,437
01/31/2014,"2,485"
02/01/2014,874
02/02/2014,"6,179"
02/03/2014,"7,277"
02/04/2014,"3,155"
02/05/2014,"3,260"
02/06/2014,"8,120"
02/07/2014,"8,256"
02/08/2014,"4,776"
02/09/2014,"5,702"
02/10/2014,"8,510"
02/11/2014,"8,445"
02/12/2014,"2,262"
02/13/2014,735
02/14/2014,"7,789"
02/15/2014,"7,644"
02/16/2014,"7,927"
02/17/2014,826
02/18/2014,"3,880"
02/19/2014,"8,996"
02/20/2014,830
02/21/2014,"3,607"
02/22/2014,"9,437"
02/23/2014,"9,659"
02/24/2014,"9,581"
02/25/2014,"9,651"
02/26/2014,"7,483"
02/27/2014,"10,154"
02/28/2014,"3,497"
03/01/2014,"2,214"
03/02/2014,"10,357"
03/03/2014,"9,454"
03/04/2014,"1,577"
03/05/2014,"8,713"
03/06/2014,"9,374"
03/07/2014,"3,911"
03/08/2014,"9,273"
03/09/2014,"4,606"
03/10/2014,"9,502"
03/11/2014,"2,503"
03/12/2014,"9,817"
03/13/2014,"5,738"
03/14/2014,"5,049"
03/15/2014,"6,493"
03/16/2014,"10,635"
03/17/2014,"3,882"
03/18/2014,"5,965"
03/19/2014,"1,803"
03/20/2014,"6,945"
03/21/2014,"5,735"
03/22/2014,"7,930"
03/23/2014,"9,631"
03/24/2014,"9,160"
03/25/2014,"8,827"
03/26/2014,"7,896"
03/27/2014,704
03/28/2014,"7,539"
03/29/2014,"9,964"
03/30/2014,"9,762"
03/31/2014,"4,182"
04/01/2014,"3,047"
04/02/2014,"10,174"
04/03/2014,"1,449"
04/04/2014,988
04/05/2014,"10,448"
